Source;Type;Target;Weight
Kosyh;Undirected;Lebedev;3
Babakina;Undirected;Borkin;1
Lebedev;Undirected;Shabelskij;8
Baryshni;Undirected;Lebedev;1
Sasha;Undirected;ZinaidaSavishna;4
Borkin;Undirected;Kosyh;1
Egorushka;Undirected;PerviyGost;1
VtorojGost;Undirected;ZinaidaSavishna;1
Borkin;Undirected;Shabelskij;7
AvdotjaNazarovna;Undirected;Ivanov;1
Baryshni;Undirected;Shabelskij;1
Lebedev;Undirected;ZinaidaSavishna;5
Kosyh;Undirected;PerviyGost;2
AvdotjaNazarovna;Undirected;Lebedev;4
Babakina;Undirected;Egorushka;1
Babakina;Undirected;Lebedev;4
Baryshni;Undirected;Sasha;1
Baryshni;Undirected;ZinaidaSavishna;1
Lebedev;Undirected;TretijGost;2
TretijGost;Undirected;ZinaidaSavishna;3
AvdotjaNazarovna;Undirected;Babakina;3
Shabelskij;Undirected;ZinaidaSavishna;3
Sasha;Undirected;Shabelskij;4
Kosyh;Undirected;Sasha;1
Babakina;Undirected;Lvov;1
Kosyh;Undirected;TretijGost;2
Lebedev;Undirected;Lvov;2
Babakina;Undirected;PerviyGost;2
GolosaVZale;Undirected;Lebedev;1
TretijGost;Undirected;VtorojGost;1
Babakina;Undirected;ZinaidaSavishna;5
AnnaPetrovna;Undirected;Ivanov;3
Ivanov;Undirected;Sasha;10
Babakina;Undirected;Kosyh;3
GolosaVZale;Undirected;Ivanov;1
AvdotjaNazarovna;Undirected;PerviyGost;4
Borkin;Undirected;Lebedev;5
Lvov;Undirected;Shabelskij;6
Ivanov;Undirected;Lebedev;6
Kosyh;Undirected;Shabelskij;1
PerviyGost;Undirected;TretijGost;2
Borkin;Undirected;Lvov;3
AvdotjaNazarovna;Undirected;ZinaidaSavishna;3
Ivanov;Undirected;ZinaidaSavishna;3
AvdotjaNazarovna;Undirected;Sasha;1
AvdotjaNazarovna;Undirected;Borkin;2
AnnaPetrovna;Undirected;Borkin;2
AvdotjaNazarovna;Undirected;Egorushka;1
Kosyh;Undirected;VtorojGost;1
Babakina;Undirected;Ivanov;1
PerviyGost;Undirected;VtorojGost;1
Babakina;Undirected;TretijGost;3
Borkin;Undirected;Sasha;3
Lebedev;Undirected;Sasha;7
Borkin;Undirected;Ivanov;8
Egorushka;Undirected;VtorojGost;1
Sasha;Undirected;TretijGost;1
AnnaPetrovna;Undirected;Shabelskij;3
Ivanov;Undirected;Shabelskij;6
Baryshni;Undirected;Borkin;1
Lebedev;Undirected;PerviyGost;1
Egorushka;Undirected;TretijGost;1
Egorushka;Undirected;ZinaidaSavishna;1
AvdotjaNazarovna;Undirected;VtorojGost;1
Borkin;Undirected;ZinaidaSavishna;1
Baryshni;Undirected;Ivanov;1
Babakina;Undirected;Shabelskij;3
Kosyh;Undirected;ZinaidaSavishna;2
AvdotjaNazarovna;Undirected;Lvov;1
Ivanov;Undirected;Lvov;6
AvdotjaNazarovna;Undirected;Shabelskij;1
AvdotjaNazarovna;Undirected;Kosyh;2
Kosyh;Undirected;Lvov;2
AvdotjaNazarovna;Undirected;TretijGost;3
Babakina;Undirected;Sasha;3
Babakina;Undirected;VtorojGost;1
PerviyGost;Undirected;ZinaidaSavishna;2
AnnaPetrovna;Undirected;Lvov;3
Egorushka;Undirected;Kosyh;1
Lvov;Undirected;Sasha;1
