Source;Type;Target;Weight
Gost;Undirected;VtorojGost;1
DonKarlos;Undirected;VtorojGost;1
DonGuan;Undirected;Monah;1
DonaAnna;Undirected;Monah;1
DonKarlos;Undirected;TretijGost;1
Laura;Undirected;VtorojGost;1
DonaAnna;Undirected;Statuja;1
DonKarlos;Undirected;Gost;1
DonKarlos;Undirected;Laura;1
DonGuan;Undirected;TretijGost;1
DonaAnna;Undirected;Leporello;2
Gost;Undirected;PervyjGost;1
DonGuan;Undirected;VtorojGost;1
Laura;Undirected;TretijGost;1
DonGuan;Undirected;Laura;1
TretijGost;Undirected;VtorojGost;1
PervyjGost;Undirected;VtorojGost;1
DonGuan;Undirected;PervyjGost;1
DonGuan;Undirected;Statuja;1
PervyjGost;Undirected;TretijGost;1
Leporello;Undirected;Monah;1
Gost;Undirected;Laura;1
Laura;Undirected;PervyjGost;1
Gost;Undirected;TretijGost;1
DonGuan;Undirected;Gost;1
DonGuan;Undirected;DonKarlos;1
DonKarlos;Undirected;PervyjGost;1
DonGuan;Undirected;Leporello;2
DonGuan;Undirected;DonaAnna;3
