Source;Type;Target;Weight
Stalverh;Undirected;Strazhtemnits;1
Strazhgradskihvorot;Undirected;Strazhtemnits;1
Edinyjvoin;Undirected;Horev;1
Stalverh;Undirected;Strazhgradskihvorot;1
Astrada;Undirected;Osnelda;4
Astrada;Undirected;Horev;1
Kij;Undirected;Osnelda;1
Kij;Undirected;Strazhtemnits;1
Osnelda;Undirected;Velkar;1
Astrada;Undirected;Kij;1
Kij;Undirected;Strazhgradskihvorot;1
Edinyjvoin;Undirected;Kij;1
Edinyjvoin;Undirected;Velkar;1
Velkar;Undirected;Zavloh;1
Horev;Undirected;Osnelda;4
Horev;Undirected;Velkar;2
Kij;Undirected;Poslannyj;1
Kij;Undirected;Nevolnik;1
Kij;Undirected;Stalverh;3
Edinyjvoin;Undirected;Zavloh;1
Horev;Undirected;Zavloh;2
Kij;Undirected;Zavloh;2
Poslannyj;Undirected;Velkar;1
Kij;Undirected;Velkar;3
Horev;Undirected;Kij;3
